원문,번역문
오늘 공유해드린 UI스타일에 팝업은 페이퍼 스타일의 디자인으로 생각하고 있고요.,We are thinking of a paper style design on the UI style popup that we shared to you today.
알리바바가 착한 청년이라는 말은 아무래도 취소해야겠네요.,I should cancel saying that Alibaba was a good young man.
그리고 그 규모에 맞설 자본이 우리에겐 없어요.,And we don't have the capital to compete on that scale.
왕산 캠핑장은 용유도 끝자락에 있습니다.,Wang-san camping site is located in the last part of Yong-yu-do.
요즘 정신적으로 너무 바빠요.,I'm so busy mentally these days.
더 빠른 선적 일정을 요청했는데 현재 물량 증가로 인해 해당 일정이 가장 최고의 일정이라고 합니다.,"We have asked for a faster shipment schedule, but the current offered shipment date is the best due to the increased quantity of goods."
"끝으로, 이 기사의 중점은 학교가 체육복 허용을 얼마나 싫어하는지 알 수 있다라는 것이에요.","Finally, the main point of this article is that you can know how much the school hates allowing gym clothes."
그녀는 말을 너무 많이 해요.,She's too talkative.
다른 점을 공유하며 내가 가지지 못한 점을 채워주는 친구가 내가 생각하는 좋은 친구이에요.,I think a good friend is a friend who shares differences and fulfills something which I dont have.
데이빗이 아파서 오늘 학교를 못 갔어요.,David did not go to school tody because he was sick.
내가 만든 축소 모형의 집입니다.,This is the miniature house that I made.
나는 오늘 영어 공부하는 날이라 바빴어요.,I have been busy today because I had to study English.
내가 오늘 정색해서 미안해요.,I'm sorry I made a serious face today.
그럼 터미널 c8 /c27 양쪽 모두 12시까지 베큠 끝내놓고 12시에 터미널 E로 가면 된다.,"Then finish vacuuming in both Terminal C8/ C27 until 12, and head to Terminal E at 12."
그 힘든 일을 왜 하는지 물어봐도 돼?,Can I ask why do you do such hard work?
이 알람을 지우기 위해선 납품일을 POS 상 일자 이전으로 해야 합니다.,To delete the alarm we need to move the due date to before POS.
우리는 당신의 건강을 꾸준히 관리할 것입니다.,We will take care of your health steadily.
이동하는 데 있어 불편함이 없을 거야.,You won't have any difficulties moving around.
저는 이 경우에 중간고사 성적이나 재시험 여부는 어떻게 되는지 궁금합니다.,"I was wondering what happens to my midterm grades in this situation, or if I might be able to retake the test."
나는 이런 메일을 받았는데 네가 보낸 게 맞아?,"I got an anonymous email, is it from you?"
"아시겠지만, CRD는 샘플 하나를 가지고 물성 테스트해서 작성합니다.","As you know, CRD conducts a material test using one sample."
내가 경복궁을 추천한 이유는 우리나라의 역사가 묻어나는 곳이기 때문입니다.,The reason I recommend Gyeongbokgung is that it is a place that has Korean history.
나는 어떤 피부타입을 갖고 있을까요?,Which skin type do I have?
이틀 밤 묵기로 하셨군요.,You decided to stay 2 nights here.
당신이 지불해야 할 금액이 있는지 내가 확인해 보겠다.,I will check if you have anything left to pay.
당신은 공항에서도 음식과 쇼핑을 즐길 수 있습니다.,You can enjoy food and shop at the airport too.
나는 교수님이 무엇을 원하는지 잘 몰랐어요.,I didn't know well about what the professor wanted.
그가 국내 항공권과 호텔 예약에 관하여 너희 들과 얘기하고 싶어해요.,He wants to hear from you about the local flight and hotel reservation.
나는 너를 충분히 이해한단다.,I understand you enough.
저 한국에서는 이거 처음 해봐요.,It's my first time to do it in Korea ever.
사교성과 사회성 또한 좋아졌습니다.,My sociability and sociality also improved.
이 메시지는 어디서 보내 주는 건가요?,Where is this message sent from?
마지막 기차를 탈 수 있을지 모르겠어요.,I wonder if I can manage to take the last train.
내 집은 전철역에서 20미터 거리야.,My house is 20m away from the subway station.
네 면에 새겨진 조각과 내부 벽면에 새겨져 있는 글씨를 볼 수 있습니다.,The four carved sides and inscription of inside walls can be seen.
그곳에는 외국에서 들여오는 화장품들이 많더라고요.,They have a lot of imported beauty products there.
멜라닌 생성 억제에 도움을 주어 균일하지 못한 피부 톤을 잡티 없는 깨끗한 피부로 가꾸어 줍니다.,"It restricts the formation of melanin pigment, so it helps your blemish skin clean."
둘 중 누가 가여운 것일까?,Who's poor?
인공지능의 장단점을 보자. 인공지능이 생기면서 우리들의 삶이 편안해졌다.,Let's look at pros and cons of A.I. Our life has become comfortable as it appeared.
나는 지금 열여덟 살이고 수험생이야.,I'm 18 years old and a student who is preparing for an exam.
"저는 그레이, 블루 2가지 색상의 매트를 샘플용으로 구매하고 싶습니다.",I would like to buy some mats with grey and blue color to use as samples.
내가 그 말을 했을 때 네가 화를 내지 않았잖아요.,"When I said that, you were not angry."
당신이 회사에 다닌다고 가정하면 당신은 해외 출장을 갈 수도 있어.,If you are supposed to go to work for the company you could go abroad for business.
물리적으로 ‘~ 같은' 이미지는 사실 실제 대상과는 아무 연관이 없는 것입니다.,"In fact, a physically '~ like' image has no relationship with that real thing."
"저는 당신이 이번에도 컨테이너에 제품 넣을 때, 팔레트 없이 박스로만 적재하였는지 궁금합니다.","I was wondering if you put the items inside the container, you loaded them without the pallets this time again."
나는 다음 주에 업체와 확인 후 당신에게 말해 줄게요.,I'll tell you after I check-up with the company next week.
"여러 종류의 찹쌀떡이 있지만, 팥소가 가득 들어 있는 하얀 찹쌀떡이 제 입에는 제일 맛있는 거 같습니다.","There are many kinds of glutinous rice cakes, but the white glutinous rice cakes filled with red bean paste are the most delicious in my mouth."
유명한 음식점 좀 알려주세요.,Please tell me the names of some famous restaurants.
수정된 지원서를 함께 첨부합니다.,I attach the updated application form.
이 애플리케이션은 매우 유용한 거 같아요.,I think this application is very useful.
저는 업데이트된 리포트를 다시 보내 드립니다.,I'm sending you an updated report again.
"고마워, 나 역시 그 신발이 최고라고 생각해.",Thank you. I also think that a pair of shoes is the best.
코트라에서 당신의 회사를 소개 받아서 연락을 하게 되어 기쁩니다.,I am happy to contact you as we got introduced your company from Kotra.
겨울은 바람이 심하게 불고 온도가 매우 낮습니다.,The wind blows hard and the temperature is very low in the winter.
그가 사무실에서 지금 기다리고 있어요.,He is waiting now in the office.
오전에 방 청소하신 분 불러 주세요.,Please call the housekeeper who has cleaned this morning.
어제는 진짜 미안했어요.,I'm so sorry about yesterday.
우리 부서의 다음 주 스케줄은 뭐죠?,What's our department's schedule for next week?
일단 그 콘도 거래를 끝내고 나면 이야기해보죠.,Lets discuss that after we finish the condo deal.
당신은 낮잠을 자거나 쉬는 게 좋겠어요.,You'd better take a rest or nap.
자동차에는 운전면허시험을 보는 여자와 평가하는 남자가 있다.,There are a woman taking her driver's license exam and a man evaluating her in the car.
보조 정보 및 가정의 질적인 요소에 의존하여 신뢰성 있는 예측을 가능하게 합니다.,Secondary information and qualitative elements of a home depend on reliable forecasts.
"사실, 나는 10년 만에 춤을 춰봤어요.","In fact, I danced for the first time in 10 years."
오늘 회사에서 큰 성과를 냈어요.,I made a good record at work today.
당신이 첨부한 화면은 보이지 않아요.,I can't see the screen that you've attached.
나는 말을 할 때 생각하는 그대로 말하는 편이에요.,I tend to talk in the way I think.
그가 그런 행동을 해서 내가 그의 행동을 제지했어요.,"He acted like that, so I stopped him."
입지를 고를 때 고려해야 할 문제는 '임대료'와 '교통'입니다.,The issues you should consider when choosing a location are 'rent' and 'traffic'.
나는 현지인의 이야기를 듣고 싶어요.,I want to hear the story from a local.
이것 좀 오케이 해주실래요?,Would you okay this?
